a,bir
able,yapabilen
about,hakkında
above,üstünde
across,karşısında
act,hareket
action,aksiyon
actually,aslında
add,eklemek
addition,ek olarak
adjective,sıfat
afraid,korkmuş
Africa,Afrika
after,sonra
again,yeniden
against,karşısında
age,yaş
ago,önce
agreed,anlaşıldı
ahead,önünde
air,hava
all,hepsi
allow,izin vermek
almost,neredeyse
alone,yalnız
along,boyunca
already,zaten
also,ayrıca
although,rağmen
always,her zaman
am,gece 12 ile gündüz 12 arası saat dilimi
America,Amerika
among,arasında
amount,miktar
an,bir tek
and,ve
angle,açı
animal,hayvan
another,diğer
answer,cevap
any,herhangi
anything,hiçbir şey
appear,gözükmek
apple,elma
are,olmak fiili
area,bölge
arms,kollar
army,ordu
around,etraf
arrived,varmak (geçmiş zaman)
art,sanat
as,iken
ask,sormak
at	-de, -da
away,uzak